Ключ;Позиция;Количество слов;Содержит вопрос;Содержит топоним;Глобальная общая частотность;Глобальная точная "[!частотность]";Региональная общая частотность;Региональная "частотность";Региональная точная "[!частотность]";Минимальная ставка в контексте;Результатов в выдаче;Домен;Страница;Прогресс позиций
"цена шлакоблока";4;2;;;8618;135;81;6;2;13.9;702000;"plitkaekb.ru";"/stenovyie-bloki/stenovoj-blok/";
"речной песок";2;2;;;27330;655;379;4;2;21.7;240000;"plitkaekb.ru";"/syipuchie-materialyi/pesok/rechnoj-pesok-dekorativnyij/";
"повышенный бортовой камень";10;3;;;70;25;4;2;2;0.3;306000;"plitkaekb.ru";"/bortovoj-kamen-svojstva-primenenie/";
"стоимость тротуарного бордюра";2;3;;;281;15;2;2;2;6.9;433000;"plitkaekb.ru";"/bordyuryi-i-elementyi/bordyur-trotuarnyij-metrovyij-vibropressovanie/";0
"шлакоблок цена за штуку";3;4;;;2688;243;13;7;2;19.6;780000;"plitkaekb.ru";"/stenovyie-bloki/stenovoj-blok/";7
"бордюр тротуарный размеры";5;3;;;767;61;14;4;2;19.4;528000;"plitkaekb.ru";"/vidyi-bordyurov-dlya-trotuarnoj-plitki/";
"шуруповерт зубр 14 4";17;4;;;166;6;10;2;2;0.3;3000000;"plitkaekb.ru";"/stroitelnyie-materialyi/elektroinstrument/drel-shurupovert-14-4v/";0
"плитка 400 400";3;3;;;5325;20;204;4;2;0.3;365000;"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/trotuarnaya-plitka-8-kirpichej/";0
"бетонная тротуарная плитка";3;3;;;8216;3679;74;7;2;93.2;211000;"plitkaekb.ru";"/trotuarnaya-plitka/betonnaya/";
"укладка плитки в гараже на пол своими руками";2;8;;;11;2;2;2;2;0.3;595000;"plitkaekb.ru";"/texnologiya-ukladki-trotuarnoj-plitki-v-garazhe/";0
"рубероид рпп 300";7;3;;;1051;196;27;3;2;21.8;485000;"plitkaekb.ru";"/stroitelnyie-materialyi/izolyaczionnyie-materialyi/ruberoid-rpp-300/";
"рубероид размеры рулона ширина и длина цена";11;7;;;134;109;3;3;2;0.3;997000;"plitkaekb.ru";"/stroitelnyie-materialyi/izolyaczionnyie-materialyi/ruberoid-rpp-300/";
"размеры бордюрного камня для тротуаров";9;5;;;46;24;2;2;2;0.3;544000;"plitkaekb.ru";"/vidyi-bordyurov-dlya-trotuarnoj-plitki/";1
"проволока стальная 2мм";9;3;;;500;10;29;2;2;0.3;3000000;"plitkaekb.ru";"/stroitelnyie-materialyi/metalloprokat-armatura-provoloka/provoloka/";
"плитка для круга";3;3;;;921;3;12;2;2;0.3;309000;"plitkaekb.ru";"/trotuarnaya-plitka/";0
"покрытие для парковок";8;3;;;665;13;8;3;2;77;371000;"plitkaekb.ru";"/trotuarnaya-plitka/dlya-parkovki-avto/";
"отсев купить в екатеринбурге в мешках";5;6;;1;38;2;31;15;2;18.2;857000;"plitkaekb.ru";"/stroitelnyie-materialyi/suxie-smesi/otsev-meshok/";
"тротуарная доска";5;2;;;1094;25;18;2;2;0.3;227000;"plitkaekb.ru";"/trotuarnaya-plitka/";17
"песок речной мытый";10;3;;;512;68;8;2;2;30;400000;"plitkaekb.ru";"/syipuchie-materialyi/pesok/rechnoj-pesok-dekorativnyij/";
"бордюры для тротуарной плитки";3;4;;;1499;33;13;7;2;66.91;206000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";0
"плитка на землю для дачи";5;5;;;130;27;4;4;2;0.3;638000;"plitkaekb.ru";"/trotuarnaya-plitka/";
"купить сибкабель 2х16";12;3;;;13;11;4;4;2;12.3;4000000;"plitkaekb.ru";"/stroitelnyie-materialyi/elektrotovaryi/provod-sip4/";0
"тротуарная плитка в екатеринбурге купить";3;5;;1;439;3;238;72;2;175.2;807000;"plitkaekb.ru";"/";0
"дренажный лоток с решеткой цена";9;5;;;75;23;2;2;2;78.7;712000;"plitkaekb.ru";"/elementyi-poverxnostnogo-vodootvoda/lotki-vodootvodnyie/";
"gidrolica лотки водоотводные";8;3;;;708;24;26;4;2;57.8;234000;"plitkaekb.ru";"/elementyi-poverxnostnogo-vodootvoda/lotki-vodootvodnyie/lotok-vodootvodnyij-plastikovyij-gidrolica-standart-dn100/";0
"производители тротуарной плитки в екатеринбурге";2;5;;1;115;3;83;2;2;8.6;378000;"plitkaekb.ru";"/";2
"бехатон что это";5;3;1;;15;12;4;4;2;0.3;2000000;"plitkaekb.ru";"/bexaton-trotuarnaya-plitka/";-2
"сип 4 2х16 цена";7;4;;;132;55;5;2;2;18.1;4000000;"plitkaekb.ru";"/stroitelnyie-materialyi/elektrotovaryi/provod-sip4/";
"оптовка плитки";8;2;;;2059;161;2;2;2;0.3;200000;"plitkaekb.ru";"/optovyim-klientam/";0
"листовые материалы из дерева";6;4;;;67;9;4;2;2;0.3;1000000;"plitkaekb.ru";"/stroitelnyie-materialyi/listovoj-material/";0
"клевер плитка";2;2;;;1025;5;26;2;2;0.3;205000;"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/klever-krakovskij-bolshoj/";4
"брусчатка 50х50";3;2;;;16;7;2;2;2;0.3;1000000;"plitkaekb.ru";"/trotuarnaya-plitka/vibropressovannaya/trotuarnaya-plitka-500-x-500/";0
"плитка 300 300";2;3;;;9625;15;317;5;2;63.6;435000;"plitkaekb.ru";"/trotuarnaya-plitka/300x300/";9
"брусчатка бетонная";5;2;;;2186;73;29;2;2;0.3;179000;"plitkaekb.ru";"/trotuarnaya-plitka/bruschatka/";-2
"плитка тротуарная старый город цена за м2";2;7;;;23;6;2;2;2;0.3;3000000;"plitkaekb.ru";"/trotuarnaya-plitka/vibropressovannaya/staryi-gorod/";0
"стоимость кладки тротуарной плитки за квадратный метр";7;7;;;14;3;2;2;2;0.3;828000;"plitkaekb.ru";"/ukladka-pod-klyuch/";0
"производство светящейся плитки";3;3;;;147;28;5;2;2;0.3;457000;"plitkaekb.ru";"/svetyashhayasya-trotuarnaya-plitka/";
"бордюры каменные";2;2;;;405;3;12;2;2;0.3;210000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";0
"плитка тротуарная цена за штуку";7;5;;;2950;75;46;2;2;20.9;622000;"plitkaekb.ru";"/trotuarnaya-plitka/dlya-dachi/";-2
"плитка тротуарная храбрая";1;3;;;42;2;30;16;2;26.6;205000;"plitkaekb.ru";"/";0
"тротуарная плитка кирпич";2;3;;;1702;43;45;2;2;21.3;235000;"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/trotuarnaya-plitka-kirpich/";0
"плитка тротуарная старый город купить";1;5;;;1529;59;46;18;2;56.5;2000000;"plitkaekb.ru";"/trotuarnaya-plitka/vibropressovannaya/staryi-gorod-40/";0
"высота бордюра для тротуарной плитки";2;5;;;24;16;2;2;2;0.3;202000;"plitkaekb.ru";"/vidyi-bordyurov-dlya-trotuarnoj-plitki/";
"брусчатки";3;1;;;119027;133;966;75;2;126.8;2000000;"plitkaekb.ru";"/trotuarnaya-plitka/bruschatka/";1
"бордюрный камень с доставкой";5;4;;;15;3;2;2;2;0.3;449000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";0
"шлакоблоки размеры и цены";2;4;;;425;127;4;2;2;2.6;1000000;"plitkaekb.ru";"/stenovyie-bloki/stenovoj-blok/";
"сколько стоит плитка тротуарная";2;4;1;;2191;37;14;3;2;68.8;684000;"plitkaekb.ru";"/trotuarnaya-plitka/";2
"бардюры или бордюры цена";1;4;;;153;138;3;3;2;7.8;675000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";5
"сетка 100";12;2;;;16369;33;425;2;2;0.3;1000000;"plitkaekb.ru";"/syipuchie-materialyi/kladochnaya-setka/kladochnaya-setka-yachejka-100x100mm-d-3mm-list-1-5-x-0-5-m/";
"вибролитая тротуарная плитка";2;3;;;773;47;34;7;2;15.9;173000;"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/";0
"камень для отмостки купить";8;4;;;21;2;2;2;2;0.3;675000;"plitkaekb.ru";"/trotuarnaya-plitka/dlya-otmostki-doma/";0
"расчет стоков ливневой канализации";7;4;;;34;7;5;2;2;0.3;152000;"plitkaekb.ru";"/raschet-livnevoj-kanalizaczii/";
"купить рубероид в екатеринбурге по низкой цене";9;7;;1;3;2;8;8;2;87.1;1000000;"plitkaekb.ru";"/stroitelnyie-materialyi/izolyaczionnyie-materialyi/ruberoid-rpp-300/";
"плита тротуарная";5;2;;;13153;286;337;25;2;46.4;180000;"plitkaekb.ru";"/trotuarnaya-plitka/";2
"труба полипропиленовая армированная стекловолокном pn20";9;5;;;270;7;4;3;2;0.3;2000000;"plitkaekb.ru";"/stroitelnyie-materialyi/santexnika/pp-truba-armirovannaya-steklovolokno-pn20/";0
"чем можно покрасить тротуарную плитку";10;5;1;;117;39;2;2;2;0.3;866000;"plitkaekb.ru";"/chem-pokrasit-trotuarnuyu-plitku/";0
"проволока 2 мм";10;3;;;18768;58;544;2;2;0.3;3000000;"plitkaekb.ru";"/stroitelnyie-materialyi/metalloprokat-armatura-provoloka/provoloka/";
"ливневые лотки с решетками купить";8;5;;;85;54;2;2;2;0.3;744000;"plitkaekb.ru";"/elementyi-poverxnostnogo-vodootvoda/lotki-vodootvodnyie/";
"дождеприемники для ливневой канализации";8;4;;;680;160;4;4;2;0.3;145000;"plitkaekb.ru";"/elementyi-poverxnostnogo-vodootvoda/view-dozhdepriemniki/";
"купить щебень мелкой фракции";6;4;;;116;13;6;2;2;0.3;692000;"plitkaekb.ru";"/syipuchie-materialyi/shcheben/";
"бордюр для клумбы бетонный";4;4;;;126;7;2;2;2;0.3;195000;"plitkaekb.ru";"/bordyuryi-i-elementyi/sadovyie-bordyuryi/";0
"арматура стеклопластиковая 12 мм цена за метр";10;7;;;166;114;2;2;2;13.1;2000000;"plitkaekb.ru";"/stroitelnyie-materialyi/metalloprokat-armatura-provoloka/stekloplastikovaya-armatura/";
"торцевая заглушка";7;2;;;11780;91;262;7;2;40.8;2000;"plitkaekb.ru";"/elementyi-poverxnostnogo-vodootvoda/vodootvodnyie-reshetki-dlya-lotkov/torczevaya-plastikovaya-zaglushka-dlya-vodootvodnogo-lotka-gidrolica-light-dn100/";
"купить тротуарный бордюр";6;3;;;9979;85;128;18;2;32.21;24000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";4
"люминесцентная плитка";1;2;;;70;11;3;2;2;0.3;224000;"plitkaekb.ru";"/svetyashhayasya-trotuarnaya-plitka/";
"бордюры";6;1;;;158111;327;2847;93;2;133.9;2000000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";-4
"прайс лист на щебень";7;4;;;55;8;2;2;2;0.3;395000;"plitkaekb.ru";"/stroitelnyie-materialyi/suxie-smesi/shheben-meshok/";0
"плитка для дачи";7;3;;;5918;48;58;2;2;0.3;425000;"plitkaekb.ru";"/";-5
"кирпич бордюрный купить";4;3;;;4;2;2;2;2;0.3;706000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";0
"демонтаж бордюрного камня";5;3;;;155;7;5;2;2;0.3;325000;"plitkaekb.ru";"/demontazh-bordyurnogo-kamnya/";0
"рпп 300 рубероид";20;3;;;1177;16;37;4;2;6.6;753000;"plitkaekb.ru";"/stroitelnyie-materialyi/izolyaczionnyie-materialyi/ruberoid-rpp-300/";
"купить плитку тротуарную бехатон в екатеринбурге недорого";1;7;;1;2;2;2;2;2;0.3;711000;"plitkaekb.ru";"/bexaton-trotuarnaya-plitka/";0
"плитка тротуарная на даче";3;4;;;7702;28;96;2;2;0.3;382000;"plitkaekb.ru";"/trotuarnaya-plitka/dlya-dachi/";4
"брусчатка старый город серая";9;4;;;69;19;2;2;2;0.3;1000000;"plitkaekb.ru";"/trotuarnaya-plitka/vibropressovannaya/staryi-gorod/";
"рейтинг тротуарной плитки для загородного дома";7;6;;;4;3;2;2;2;22.5;1000000;"plitkaekb.ru";"/top-7-modelej-trotuarnoj-plitki-v-ekaterinburge/";0
"царицынские краски";10;2;;;1632;146;13;2;2;0.3;260000;"plitkaekb.ru";"/stroitelnyie-materialyi/lakokrasochnyie-materialyi/emal-pf-115-czariczyinskie-kraski/";
"плитка катушка тротуарная";1;3;;;137;7;9;2;2;0.3;242000;"plitkaekb.ru";"/trotuarnaya-plitka/vibropressovannaya/trotuarnaya-plitka-katushka/";3
"укладка тротуарной плитки екатеринбург";6;4;;1;101;20;45;23;2;31.2;232000;"plitkaekb.ru";"/ukladka-pod-klyuch/";2
"показать тротуарную плитку";3;3;;;276;4;5;2;2;0.3;1000000;"plitkaekb.ru";"/trotuarnaya-plitka/dlya-dvora-doma/";0
"плитка рваный камень купить";9;4;;;124;11;7;7;2;27;845000;"plitkaekb.ru";"/obliczovochnyie-materialyi/obliczovochnaya-plitka-rvanyij-kamen-162*334/";-3
"шланг силиконовый 3 4";7;4;;;326;13;5;2;2;17.1;3000000;"plitkaekb.ru";"/stroitelnyie-materialyi/sad-i-ogorod/shlang-polivochnyij-silikonovyij-20m/";0
"что такое полусфера";8;3;1;;270;41;7;3;2;0.3;7000;"plitkaekb.ru";"/betonnyie-polusferyi-primenenie-xarakteristiki/";
"брусчатка бетонная 100 200 70";3;5;;;13;7;2;2;2;18.1;1000000;"plitkaekb.ru";"/trotuarnaya-plitka/tip-izgotovleniya/vibropressovannaya/trotuarnaya-plitka-kirpich-vibropressovannyij/";0
"сетка кладочная 100 100";11;4;;;704;20;26;2;2;37.9;956000;"plitkaekb.ru";"/syipuchie-materialyi/kladochnaya-setka/kladochnaya-setka-yachejka-100x100mm-d-3mm-list-1-5-x-0-5-m/";31
"плитка катушка";1;2;;;427;13;19;2;2;0.3;187000;"plitkaekb.ru";"/trotuarnaya-plitka/vibropressovannaya/trotuarnaya-plitka-katushka/";2
"гидролика лотки водосточные цена";13;4;;;55;45;2;2;2;0.3;674000;"plitkaekb.ru";"/elementyi-poverxnostnogo-vodootvoda/lotki-vodootvodnyie/lotok-vodootvodnyij-plastikovyij-gidrolica-standart-dn100/";0
"арматура стеклопластиковая 12";10;3;;;1272;37;127;3;2;57.9;2000000;"plitkaekb.ru";"/stroitelnyie-materialyi/metalloprokat-armatura-provoloka/stekloplastikovaya-armatura/";-8
"бихотон";5;1;;;10;3;8;2;2;0.3;1000;"plitkaekb.ru";"/bexaton-trotuarnaya-plitka/";1
"краковский клевер";2;2;;;1201;22;32;2;2;10.3;12000;"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/klever-krakovskij-bolshoj/";8
"тротуарная плитка цена за квадратный";2;5;;;3661;57;37;2;2;0.3;907000;"plitkaekb.ru";"/trotuarnaya-plitka/";0
"кольца для канализации бетонные цена";12;5;;;2343;51;46;2;2;13.4;853000;"plitkaekb.ru";"/betonnye-kolca/dlya-kanalizacii/";
"тротуарная плитка кирпичик серый";9;4;;;77;2;11;2;2;29.4;315000;"plitkaekb.ru";"/trotuarnaya-plitka/tip-izgotovleniya/vibropressovannaya/kirpich-vibropress-60/";0
"решетка для лотка";10;3;;;6182;27;98;2;2;0.3;224000;"plitkaekb.ru";"/elementyi-poverxnostnogo-vodootvoda/vodootvodnyie-reshetki-dlya-lotkov/";0
"сколько стоит шлакоблок 1 штука";4;5;1;;242;29;4;2;2;0.3;4000000;"plitkaekb.ru";"/stenovyie-bloki/stenovoj-blok/";0
"тротуарные бордюры размеры и цены";3;5;;;101;18;3;3;2;0.3;1000000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";10
"плитка калифорния 300х300х30";2;3;;;1007;90;37;3;2;20.9;2000000;"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/trotuarnaya-plitka-kaliforniya/";5
"сколько стоит пвс";14;3;1;;398;69;4;2;2;20.4;664000;"plitkaekb.ru";"/stroitelnyie-materialyi/elektrotovaryi/provod-pvs/";
"плитка тротуарная клевер краковский купить";1;5;;;48;2;7;2;2;0.3;803000;"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/klever-krakovskij-bolshoj/";5
"тротуарная плитка цены в екатеринбурге";3;5;;1;210;2;88;2;2;12;800000;"plitkaekb.ru";"/trotuarnaya-plitka/";0
"сенеж пропитка для дерева цена";14;5;;;99;54;5;2;2;0.3;767000;"plitkaekb.ru";"/stroitelnyie-materialyi/propitki-dlya-dereva/senezh-antiseptik-kan/";
"плитка тротуарная 300х300х30 цена за штуку";2;6;;;176;107;4;2;2;40.4;3000000;"plitkaekb.ru";"/trotuarnaya-plitka/300x300/";0
"тротуарная плитка цены";4;3;;;59963;42;607;11;2;94.3;774000;"plitkaekb.ru";"/trotuarnaya-plitka/";8
"купить речной песок в екатеринбурге в мешках";14;7;;1;27;2;14;2;2;30.9;756000;"plitkaekb.ru";"/stroitelnyie-materialyi/suxie-smesi/pesok-rechnoj-meshok/";
"ведро строительное 12л круглое mpg960270 мультипласт";9;6;;;7;6;2;2;2;0.3;2000000;"plitkaekb.ru";"/stroitelnyie-materialyi/xozyajstvennyie-tovaryi/vedro-stroitelnoe-krugloe-12l/";0
"цена шлакоблока за штуку";4;4;;;3381;81;18;7;2;24.1;806000;"plitkaekb.ru";"/stenovyie-bloki/stenovoj-blok/";
"бетонирование площадки";5;2;;;1355;77;31;2;2;0.3;388000;"plitkaekb.ru";"/ukladka-pod-klyuch/betonirovanie-ploshchadok-i-dorozhek/";
"тротуарная плитка екатеринбург от производителя купить в екатеринбурге";1;8;;1;72;2;47;47;2;661.5;888000;"plitkaekb.ru";"/trotuarnaya-plitka/";0
"плитка фигурная тротуарная";1;3;;;639;10;27;2;2;0.3;250000;"plitkaekb.ru";"/trotuarnaya-plitka/figurnaya/";0
"картридж из вспененного полипропилена";4;4;;;491;25;17;2;2;0.3;191000;"plitkaekb.ru";"/stroitelnyie-materialyi/sredstva-individualnoj-zashhityi-kartridzhi-ochistki-vodyi/kartridzh-pp-10m-slime-line/";0
"плитка тротуарная 40мм";2;3;;;196;4;4;2;2;0.3;1000000;"plitkaekb.ru";"/trotuarnaya-plitka/vibropressovannaya/kirpich-vibropress-40.html";6
"плитка бетонная 500х500х50 цена";3;4;;;262;67;4;2;2;0.3;2000000;"plitkaekb.ru";"/trotuarnaya-plitka/500x500/";5
"мелкий щебень";10;2;;;2491;302;40;3;2;0.3;254000;"plitkaekb.ru";"/syipuchie-materialyi/shcheben/";
"плитка тротуарная толстая";3;3;;;115;11;4;2;2;0.3;265000;"plitkaekb.ru";"/trotuarnaya-plitka/vibropressovannaya/trotuarnaya-plitka-500-x-500/";0
"плитка рваный камень";5;3;;;630;24;20;2;2;20.2;283000;"plitkaekb.ru";"/obliczovochnyie-materialyi/obliczovochnaya-plitka-rvanyij-kamen-162*334/";3
"геотекстиль для садовых дорожек купить в екатеринбурге";10;7;;1;6;2;6;2;2;61.3;874000;"plitkaekb.ru";"/syipuchie-materialyi/geotekstil/geotekstil-plotnost-100-70-m-kv/";
"плитка шашечкой";3;2;;;34;2;10;2;2;0.3;217000;"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/trotuarnaya-plitka-gotika/";0
"геотекстиль для тротуарной плитки какой выбрать";10;6;1;;14;9;3;2;2;0.3;757000;"plitkaekb.ru";"/kakoj-geotekstil-nuzhen-dlya-ukladki-trotuarnoj-plitki/";40
"что такое бортовой камень";4;4;1;;46;17;2;2;2;0.3;125000;"plitkaekb.ru";"/bortovoj-kamen-svojstva-primenenie/";0
"бордюр для садовых дорожек";5;4;;;2930;65;46;4;2;10.7;271000;"plitkaekb.ru";"/bordyuryi-i-elementyi/sadovyie-bordyuryi/";
"плитка тротуарная 300х300х30 купить";4;4;;;733;45;40;2;2;338.6;2000000;"plitkaekb.ru";"/trotuarnaya-plitka/300x300/";3
"арматура пластиковая купить";9;3;;;2425;29;51;18;2;59.3;835000;"plitkaekb.ru";"/stroitelnyie-materialyi/metalloprokat-armatura-provoloka/stekloplastikovaya-armatura/";0
"шлакоблок екатеринбург";4;2;;1;109;3;47;4;2;29.8;179000;"plitkaekb.ru";"/stenovyie-bloki/stenovoj-blok/";
"стоимость укладки тротуарной плитки";6;4;;;2566;166;55;2;2;0.3;461000;"plitkaekb.ru";"/ukladka-pod-klyuch/";4
"плитка тротуарная бетонная";2;3;;;8216;24;74;6;2;39.6;201000;"plitkaekb.ru";"/trotuarnaya-plitka/betonnaya/";0
"бордюр 30 см";13;3;;;195;4;2;2;2;0.3;2000000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";0
"перегородочные блоки";7;2;;;8115;163;181;25;2;138.5;307000;"plitkaekb.ru";"/stenovyie-bloki/";2
