Ключ;Утерянная позиция;Количество слов;Содержит вопрос;Содержит топоним;Глобальная общая частотность;Глобальная точная "[!частотность]";Региональная общая частотность;Региональная "частотность";Региональная точная "[!частотность]";Минимальная ставка в контексте;Результатов в выдаче;Домен;Страница
"газонная решетка купить";9;3;;;1054;86;9;3;2;0.3;636000;"www.betongrupp-ekb.ru";"/catalog/k-7861851-gazonnaya_reshetka"
"л6 8";4;2;;;750;41;23;2;2;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/18920265-lotok_zhelezobetonny_l_6_8"
"кольцо опорное ко 1 5";31;5;;;102;49;5;5;2;0.3;4000000;"www.betongrupp-ekb.ru";"/goods/26984203-koltso_opornoye_ko_6"
"кольцо опорное ко 6 объем";12;5;;;219;15;6;2;2;0.3;2000000;"www.betongrupp-ekb.ru";"/goods/26984203-koltso_opornoye_ko_6"
"600х400х200";43;1;;;1949;12;46;2;2;0.3;949000;"www.betongrupp-ekb.ru";"/catalog/k-5576733-ventblok/ph:404734_400kh200kh200-mm"
"шлакоблоки размеры и цены";10;4;;;425;127;4;2;2;2.6;1000000;"www.betongrupp-ekb.ru";"/catalog/k-9204758-shlakoblok"
"холодный асфальт в мешках купить";8;5;;;1560;237;33;2;2;5.2;818000;"www.betongrupp-ekb.ru";"/goods/152578769-asfalt_kholodny_v_meshkakh_po_33_kg_so_sklada_raspolozhennogo_v_yekaterinburge"
"м800 щебень";48;2;;;2207;16;44;2;2;0.3;779000;"www.betongrupp-ekb.ru";"/goods/18885452-shcheben_fraktsii_5_10_mm"
"забор из бетона декоративные панели цена";6;6;;;27;27;2;2;2;0.3;981000;"www.betongrupp-ekb.ru";"/catalog/k-8040573-panel_ograzhdeniya"
"лоток л2";17;2;;;605;46;30;2;2;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/18920256-lotok_zhelezobetonny_l_2_8"
"прокаленный песок";29;2;;;1791;44;26;2;2;0.3;246000;"www.betongrupp-ekb.ru";"/catalog/k-223144-pesok"
"кс10 6";5;2;;;326;88;9;6;2;14.7;3000000;"www.betongrupp-ekb.ru";"/goods/110449300-koltso_x_10_6_kts_10_6"
"бетон в5";26;2;;;140;13;4;2;2;0.3;4000000;"www.betongrupp-ekb.ru";"/catalog/k-5576664-m350_v25"
"щебенка 20 40";14;3;;;290;17;6;2;2;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/24376971-shcheben_fr_20_40_s_dostavkoy_po_yekaterinburgu_obem_3_kub_metra"
"4пб 44 8 п";8;4;;;20;4;2;2;2;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/36084351-peremychka_bruskovaya_4pb_44_8p"
"3пб 25 8 п";7;4;;;20;7;2;2;2;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/26350645-peremychka_bruskovaya_3pb_25_8"
"св105 5";11;2;;;745;114;13;3;2;0.3;2000000;"www.betongrupp-ekb.ru";"/goods/27341433-stoyka_opory_lep_sv_105_5"
"плиты бетонные";4;2;;;61400;129;918;19;2;56.9;244000;"www.betongrupp-ekb.ru";"/catalog/k-5579390-plity"
"купить цемент в строительном дворе";46;5;;;43;4;6;2;2;0.3;825000;"www.betongrupp-ekb.ru";"/goods/155877104-tsement_pts500d0_v_meshkakh_po_50_kg_g_sukhoy_log"
"купить цемент в сухом логу на заводе цена";23;8;;;2;2;2;2;2;12;1000000;"www.betongrupp-ekb.ru";"/goods/155877104-tsement_pts500d0_v_meshkakh_po_50_kg_g_sukhoy_log"
"плита днища";7;2;;;7107;84;127;2;2;0.3;277000;"www.betongrupp-ekb.ru";"/catalog/k-474176-plity_dnishcha_kanalov_pd_pdu"
"кольцо ко 6 цена";4;4;;;144;15;3;2;2;0.3;2000000;"www.betongrupp-ekb.ru";"/goods/26984203-koltso_opornoye_ko_6"
"мешок с песком";8;3;;;8021;62;108;6;2;34.1;207000;"www.betongrupp-ekb.ru";"/goods/155875663-pesok_rechnoy_myty_v_meshkakh_po_30_kg"
"пк 50 12 8";5;4;;;25;9;4;2;2;37.4;3000000;"www.betongrupp-ekb.ru";"/goods/22284888-plita_perekrytiya_pk_50_12_8"
"стоимость фундаментных блоков";4;3;;;126;10;6;2;2;53.3;554000;"www.betongrupp-ekb.ru";"/catalog/k-470922-fundamentny_blok_fbs"
"плита кцп 2 10";5;4;;;104;10;4;2;2;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/31101351-plita_perekrytiya_kolodtsa_ktsp_2_10"
"кс15";5;1;;;1296;31;23;2;2;0.3;2000000;"www.betongrupp-ekb.ru";"/goods/110450593-koltso_x_15_9_kts_15_9"
"пластблок екатеринбург цена";14;3;;1;4;2;3;2;2;0.3;726000;"www.betongrupp-ekb.ru";"/catalog/k-7830607-polistirolblok"
"перемычка 3пб16 37 п";2;4;;;35;10;3;2;2;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/26350633-peremychka_bruskovaya_3pb_16_37"
"плитка рваный камень купить";7;4;;;124;11;7;7;2;27;845000;"www.betongrupp-ekb.ru";"/catalog/k-4102598-dekorativny_iskusstvenny_kamen/ph:404781_rvanyi-kamien"
"ккср 3 10";10;3;;;325;38;6;2;2;42.8;3000000;"www.betongrupp-ekb.ru";"/goods/153918124-kolodets_kabelnoy_svyazi_kxr_3_10_gek"
"8к10";7;1;;;192;11;11;2;2;0.3;4000000;"www.betongrupp-ekb.ru";"/goods/19030462-plitka_betonnaya_trotuarnaya_8k10"
"35 18";5;2;;;137840;245;2458;11;2;0.3;2000000;"www.betongrupp-ekb.ru";"/catalog/k-8549353-plity_perekrytiya_kanalov_po_serii_rk_2303_86/ph:404721_vp-35-18-s-otvierstiiem"
"купить раствор полистиролбетона в екатеринбурге";11;5;;1;2;2;2;2;2;0.3;697000;"www.betongrupp-ekb.ru";"/catalog/k-2607037-polistirolbeton_tovarny"
"тактильная плитка купить в екатеринбурге";3;5;;1;7;5;5;5;2;30.9;832000;"www.betongrupp-ekb.ru";"/catalog/k-5576724-taktilnaya"
"фбс 600х600х2400 цена";5;3;;;48;19;3;3;2;0.3;1000000;"www.betongrupp-ekb.ru";"/catalog/k-470922-fundamentny_blok_fbs/ph:404734_2400kh600kh600"
"лоток л11д 15";6;3;;;11;9;2;2;2;0.3;2000000;"www.betongrupp-ekb.ru";"/goods/26491914-lotok_zhelezobetonny_l_11d_15"
"вентиляционный блок размеры";25;3;;;122;5;5;5;2;33;623000;"www.betongrupp-ekb.ru";"/catalog/k-5576733-ventblok"
"купить тротуарный бордюр";3;3;;;9979;85;128;18;2;32.21;24000;"www.betongrupp-ekb.ru";"/catalog/k-9954638-bordyurny_kamen"
"па2";45;1;;;879;35;11;2;2;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/27341781-fundament_f1_a"
"плита пн1 а";50;3;;;29;10;3;2;2;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/27341663-plita_pn_32_9_1_3250_890_100"
"жб плиты дорожные";6;3;;;1009;50;15;6;2;7.8;417000;"www.betongrupp-ekb.ru";"/catalog/k-476449-plity_zhelezobetonnyye_dlya_pokryti_dorog"
"труба 68х3";17;2;;;24;2;2;2;2;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/105231821-truba_kholodnokatannaya_kh_k_68kh3_st_20_gost_8734_75"
"где можно купить землю для огорода";12;6;1;;37;6;4;2;2;0.3;2000000;"www.betongrupp-ekb.ru";"/catalog/k-223141-plodorodny_grunt_chernozem"
"тротуарная плитка первоуральск";40;3;;1;100;8;15;3;2;0.3;78000;"www.betongrupp-ekb.ru";"/catalog/k-7533592-trotuarnaya_plitka"
"3 пб 13 37";8;4;;;45;13;5;2;2;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/153530473-peremychka_bruskovaya_zhelezobetonnaya_3pb_13_37"
"л23 8";6;2;;;64;5;10;2;2;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/148102989-lotok_teplotrassy_l_23_8_seriya_3_006_1_2_87"
"газонные решетки для парковки";4;4;;;1145;39;15;5;2;106.9;219000;"www.betongrupp-ekb.ru";"/catalog/k-7861851-gazonnaya_reshetka"
"пб 2";19;2;;;5713;33;104;2;2;0.3;3000000;"www.betongrupp-ekb.ru";"/catalog/k-475574-peremychki_bruskovyye_pb/ph:404755_2pb"
"бетонные блоки для дорожных знаков";25;5;;;21;4;4;2;2;0.3;690000;"www.betongrupp-ekb.ru";"/catalog/k-3434516-fundamenty_dorozhnykh_znakov_po_serii_3_503_9_80"
"олиосептил";48;1;;;691;143;2;2;2;5.6;1000000;"www.betongrupp-ekb.ru";"/catalog/k-7830607-polistirolblok"
"бордюр гп 4";3;3;;;45;2;11;2;2;0.3;2000000;"www.betongrupp-ekb.ru";"/catalog/k-9060640-granitny_bordyur/ph:544350_gp-4"
"лотки жби";7;2;;;1794;49;33;8;2;49.1;239000;"www.betongrupp-ekb.ru";"/catalog/k-5579385-lotki_zhbi"
"фракция 5 10";5;3;;;1456;6;41;2;2;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/18885452-shcheben_fraktsii_5_10_mm"
"8пб13 1";3;2;;;212;64;15;2;2;0.3;4000000;"www.betongrupp-ekb.ru";"/goods/36084361-peremychka_bruskovaya_8pb_13_1"
"сваи бетонные забивные";4;3;;;1713;172;17;2;2;41.8;217000;"www.betongrupp-ekb.ru";"/catalog/k-472365-svai_obshchestroitelnyye"
"птп 8 6";10;3;;;44;7;3;2;2;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/66137253-plity_perekrytiya_ploskiye_ptp_8_6_800_600_80"
"кд 13";22;2;;;606;5;10;2;2;0.3;1000000;"www.betongrupp-ekb.ru";"/goods/187051205-kolonna_zhelezobetonnaya_kd_13_3_19350kh1900kh600_mm"
"искусственные камни для декора";16;4;;;63;3;7;2;2;0.3;425000;"www.betongrupp-ekb.ru";"/catalog/k-4102598-dekorativny_iskusstvenny_kamen"
"2пб25 3п";8;2;;;24;7;4;2;2;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/26350617-peremychka_bruskovaya_2pb_25_3"
"пк 45 15";7;3;;;157;5;9;2;2;0.3;2000000;"www.betongrupp-ekb.ru";"/goods/22284239-plita_perekrytiya_pk_45_15_8"
"кирпич полуторный размеры 250 х 120 х 65 мм цена";10;10;;;19;18;2;2;2;0.3;2000000;"www.betongrupp-ekb.ru";"/catalog/k-10098567-kirpich_betonny/ph:404734_250kh120kh65-mm"
"лоток лк 1";18;3;;;874;3;41;6;2;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/26746335-lotok_kanalov_lk_75_300_120_1"
"перемычка 1пб 13 1";7;4;;;82;24;7;2;2;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/153530459-peremychka_bruskovaya_zhelezobetonnaya_1pb_13_1"
"купить столб для электричества";3;4;;;806;47;18;6;2;23.9;722000;"www.betongrupp-ekb.ru";"/catalog/k-8573159-opory_lep_derevyannyye"
"земля с доставкой";22;3;;;5909;15;94;9;2;0.3;804000;"www.betongrupp-ekb.ru";"/catalog/k-223141-plodorodny_grunt_chernozem"
"опоры жби";3;2;;;782;25;29;2;2;0.3;329000;"www.betongrupp-ekb.ru";"/catalog/k-5578828-opory_lep"
"плитка тротуарная 300х300х30 купить";12;4;;;733;45;40;2;2;338.6;2000000;"www.betongrupp-ekb.ru";"/goods/72594946-trotuarnaya_plitka_gladkaya_300kh300kh30_seraya"
"купить водоотводные лотки";41;3;;;9464;35;252;5;2;20.4;853000;"www.betongrupp-ekb.ru";"/catalog/k-5117099-lotok_vodootvodny_vodostok"
"бетон б 20";16;3;;;485;41;10;2;2;0.3;7000;"www.betongrupp-ekb.ru";"/goods/22052703-beton_m_250_v20"
"8пб 19 3";7;3;;;35;9;4;2;2;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/153530501-peremychka_bruskovaya_zhelezobetonnaya_8pb_19_3"
"колодцы ккс";4;2;;;3607;18;84;2;2;2.5;212000;"www.betongrupp-ekb.ru";"/catalog/k-5579394-kolodtsy_svyazi?page=2"
"плитка 500х500 тротуарная";3;3;;;1164;24;48;5;2;44.2;807000;"www.betongrupp-ekb.ru";"/catalog/k-5576704-gladkaya/ph:404734_500kh500kh50-mm"
"блок фбс 2400х600х400 цена екатеринбург";11;5;;1;4;3;3;2;2;0.3;1000000;"www.betongrupp-ekb.ru";"/catalog/k-470922-fundamentny_blok_fbs/ph:404734_2400kh600kh600"
"фбп 24 1";7;3;;;28;15;2;2;2;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/66693056-fbp_24_1"
"купить бетон с завода с доставкой";24;6;;;877;395;2;2;2;0.3;935000;"www.betongrupp-ekb.ru";"/catalog/k-223133-beton_tovarny"
"затирка серая на цементной основе 25кг kitt bergauf";6;8;;;2;2;2;2;2;0.3;2000000;"www.betongrupp-ekb.ru";"/goods/126102097-zatirka_seraya_na_tsementnoy_osnove_25kg_kitt_bergauf_1up_56sht"
"блоки фбс цена екатеринбург";5;4;;1;31;1;11;9;1;23.9;7000;"www.betongrupp-ekb.ru";"/catalog/k-470922-fundamentny_blok_fbs"
